EstablishmentName,URN,Latitude,Longitude,Overall effectiveness,Inspection start date,Ofsted Rating,diffn_p8mea,p8_banding,diffn_att8
London Design and Engineering UTC,142903,51.5074581,0.0643102,2,15/03/2022,Good,-0.79,,-11.4
South Bank Utc,142905,51.4566142,-0.1195593,,,,,,
Bishop Douglass School Finchley,143082,51.5943836,-0.1791992,2,05/07/2022,Good,0.17,Above average,0.5
Phoenix Academy,143129,51.5131514,-0.2375407,Not judged,06/11/2024,Not judged,0.55,Well above average,2.4
Forest Gate Community School,143274,51.5498909,0.023943,1,09/02/2016,Outstanding,0.52,Well above average,1.6
Norlington School and 6th Form,143385,51.5671697,-0.0018155,2,12/09/2013,Good,0.34,Above average,-0.2
Mulberry School for Girls,143629,51.5138302,-0.0598555,1,23/04/2024,Outstanding,0.38,Well above average,4.4
"City of London Academy, Highgate Hill",143659,51.5679753,-0.1295276,2,15/05/2024,Good,-0.46,Average,-12.0
Mulberry Academy London Dock,143716,51.5090164,-0.0662496,,,,,,
North Brent School,143718,51.55103,-0.2492,2,06/03/2024,Good,,,
"City of London Academy, Shoreditch Park",143756,51.5354189,-0.0837053,2,26/11/2019,Good,0.17,Well above average,3.9
Royal Greenwich Trust School,143927,51.4923755,0.0437602,2,11/10/2022,Good,-0.95,Below average,-15.8
The Elmgreen School,144309,51.4388406,-0.1020473,2,29/06/2022,Good,-0.95,Below average,-15.0
The Totteridge Academy,144502,51.638627,-0.2003176,2,06/03/2019,Good,0.72,Well above average,1.2
Mulberry Stepney Green Mathematics and Computing College,144700,51.5185319,-0.0421638,2,01/04/2014,Good,-0.41,Average,-2.9
Mulberry UTC,144756,51.5339149,-0.0262134,2,10/03/2020,Good,-1.02,,-20.8
Sir Simon Milton Westminster University Technical College,144819,51.4889865,-0.1467405,,,,,,
Duke's Aldridge,144900,51.6043232,-0.063504,2,18/01/2012,Good,-0.38,Average,-14.3
City of London Academy Highbury Grove,144962,51.5489688,-0.0976243,2,26/04/2022,Good,-0.35,Average,-9.4
Cumberland Community School,145113,51.5214952,0.0355578,2,28/09/2022,Good,0.41,Well above average,5.2
Harris Academy St John's Wood,145126,51.538352,-0.1765544,2,19/11/2019,Good,0.42,Well above average,-0.4
Bacon's College,145313,51.5028752,-0.0407392,2,08/06/2022,Good,0.23,Above average,-0.7
Leigh Academy Halley,145315,51.46898,0.04126,2,21/06/2022,Good,-0.42,Average,-11.5
Royal Docks Academy,145410,51.5107871,0.0357432,2,28/09/2021,Good,-0.82,Below average,-13.1
Lubavitch House School (Senior Girls),145609,51.5720862,-0.0733321,2,13/09/2022,Good,,Average,
Lammas School,145708,51.56624,-0.0254833,3,12/09/2023,Requires Improvement,-1.2,Well below average,-14.5
Archbishop Tenison's School,145857,51.4825057,-0.1157326,,,,,,
Leigh Academy Blackheath,145895,51.4762029,0.0275057,1,13/12/2022,Outstanding,-0.53,Average,-4.1
Saracens High School,145921,51.6032204,-0.2429043,2,24/05/2022,Good,0.1,Above average,3.0
Haberdashers' Borough Academy,147073,51.5029299,-0.0967589,2,05/03/2024,Good,-0.6,Below average,-4.9
Hasmonean High School for Girls,147238,51.6038631,-0.2337784,2,20/09/2023,Good,,Well above average,
The John Roan School,147439,51.4789124,0.0094979,2,10/10/2023,Good,-0.98,Below average,-15.1
AIM Academy North London,147536,51.63286,-0.04592,2,05/12/2023,Good,0.06,Above average,-11.3
Harris Academy Clapham,147543,51.4528435,-0.1321034,2,02/02/2023,Good,,,
Waterside Academy,147653,51.5387449,-0.0770513,2,09/02/2022,Good,0.69,Well above average,-5.2
Ark Soane Academy,147863,51.5075495,-0.2767159,1,06/03/2024,Outstanding,,,
Sedgehill Academy,148003,51.4232654,-0.0219418,2,28/09/2022,Good,-0.1,Average,-7.0
Eastlea Community School,148224,51.5221203,0.0057632,3,19/04/2023,Requires Improvement,-0.56,Below average,-14.7
Rokeby School,148901,51.5185557,0.0159385,2,14/11/2013,Good,-0.29,Average,-6.0
Lister Community School,148902,51.5317836,0.0264856,2,27/11/2013,Good,-0.74,Below average,-9.0
Notre Dame Catholic Girls' School,149369,51.49698,-0.10614,3,19/03/2024,Requires Improvement,-0.1,Average,-7.6
Harris Science Academy East London,149431,51.52724,-0.0071292,4,23/06/2021,Inadequate,0.04,Average,-0.9
Ernest Bevin Academy,149543,51.439099,-0.1698475,2,07/06/2022,Good,0.23,Well above average,-3.8
Holland Park School,149632,51.5048399,-0.2007014,4,20/04/2022,Inadequate,-1.17,Average,-4.9
Haggerston School,149901,51.5326048,-0.0710969,2,06/12/2022,Good,-0.33,Average,-9.0
Academy21,150163,51.50993,-0.14086,,,,,,
Prendergast School,150319,51.4587835,-0.0267848,1,06/11/2013,Outstanding,,,
Cardinal Pole Catholic School,150604,51.5466395,-0.0462629,2,17/01/2017,Good,,,
Bishop Challoner Catholic School,150606,51.5134165,-0.0495893,2,24/11/2021,Good,,,
Conisborough College,150691,51.4339993,-0.0096448,3,26/04/2022,Requires Improvement,,,
Minerva's Virtual Academy,150780,51.46398,-0.11305,,,,,,
"London Nautical, City of London Academy",150889,51.5064947,-0.1082032,,,,,,
St Michael's Catholic College,150937,51.4998905,-0.0675919,1,03/07/2013,Outstanding,,,
St. Thomas More Language College,151008,51.4927635,-0.1614452,2,24/05/2022,Good,,,
St Aloysius' College,151990,51.5697942,-0.1384624,,,,,,
